Id,ActivityDateTime,StepTotal
5577150313,2016-04-01 00:00:00,4
5577150313,2016-04-01 01:00:00,0
5577150313,2016-04-01 02:00:00,0
5577150313,2016-04-01 03:00:00,0
5577150313,2016-04-01 04:00:00,0
5577150313,2016-04-01 05:00:00,740
5577150313,2016-04-01 06:00:00,1713
5577150313,2016-04-01 07:00:00,292
5577150313,2016-04-01 08:00:00,213
5577150313,2016-04-01 09:00:00,83
5577150313,2016-04-01 10:00:00,287
5577150313,2016-04-01 11:00:00,1454
5577150313,2016-04-01 12:00:00,0
5577150313,2016-04-01 13:00:00,0
5577150313,2016-04-01 14:00:00,33
5577150313,2016-04-01 15:00:00,124
5577150313,2016-04-01 16:00:00,0
5577150313,2016-04-01 17:00:00,1490
5577150313,2016-04-01 18:00:00,265
5577150313,2016-04-01 19:00:00,3210
5577150313,2016-04-01 20:00:00,382
5577150313,2016-04-01 21:00:00,167
5577150313,2016-04-01 22:00:00,4
5577150313,2016-04-01 23:00:00,0
5577150313,2016-04-02 00:00:00,104
5577150313,2016-04-02 01:00:00,0
5577150313,2016-04-02 02:00:00,56
5577150313,2016-04-02 03:00:00,0
5577150313,2016-04-02 04:00:00,0
5577150313,2016-04-02 05:00:00,19
5577150313,2016-04-02 06:00:00,476
5577150313,2016-04-02 07:00:00,2312
5577150313,2016-04-02 08:00:00,41
5577150313,2016-04-02 09:00:00,391
5577150313,2016-04-02 10:00:00,1957
5577150313,2016-04-02 11:00:00,3654
5577150313,2016-04-02 12:00:00,2872
5577150313,2016-04-02 13:00:00,326
5577150313,2016-04-02 14:00:00,1017
5577150313,2016-04-02 15:00:00,5
5577150313,2016-04-02 16:00:00,83
5577150313,2016-04-02 17:00:00,349
5577150313,2016-04-02 18:00:00,144
5577150313,2016-04-02 19:00:00,389
5577150313,2016-04-02 20:00:00,543
5577150313,2016-04-02 21:00:00,0
5577150313,2016-04-02 22:00:00,128
5577150313,2016-04-02 23:00:00,7
5577150313,2016-04-03 00:00:00,14
5577150313,2016-04-03 01:00:00,0
5577150313,2016-04-03 02:00:00,0
5577150313,2016-04-03 03:00:00,5
5577150313,2016-04-03 04:00:00,72
5577150313,2016-04-03 05:00:00,336
5577150313,2016-04-03 06:00:00,1409
5577150313,2016-04-03 07:00:00,1736
5577150313,2016-04-03 08:00:00,0
5577150313,2016-04-03 09:00:00,539
5577150313,2016-04-03 10:00:00,923
5577150313,2016-04-03 11:00:00,616
5577150313,2016-04-03 12:00:00,330
5577150313,2016-04-03 13:00:00,748
5577150313,2016-04-03 14:00:00,142
5577150313,2016-04-03 15:00:00,823
5577150313,2016-04-03 16:00:00,356
5577150313,2016-04-03 17:00:00,355
5577150313,2016-04-03 18:00:00,490
5577150313,2016-04-03 19:00:00,644
5577150313,2016-04-03 20:00:00,195
5577150313,2016-04-03 21:00:00,118
5577150313,2016-04-03 22:00:00,0
5577150313,2016-04-03 23:00:00,66
5577150313,2016-04-04 00:00:00,0
5577150313,2016-04-04 01:00:00,0
5577150313,2016-04-04 02:00:00,0
5577150313,2016-04-04 03:00:00,10
5577150313,2016-04-04 04:00:00,0
5577150313,2016-04-04 05:00:00,98
5577150313,2016-04-04 06:00:00,1696
5577150313,2016-04-04 07:00:00,325
5577150313,2016-04-04 08:00:00,613
5577150313,2016-04-04 09:00:00,288
5577150313,2016-04-04 10:00:00,157
5577150313,2016-04-04 11:00:00,182
5577150313,2016-04-04 12:00:00,378
5577150313,2016-04-04 13:00:00,86
5577150313,2016-04-04 14:00:00,106
5577150313,2016-04-04 15:00:00,172
5577150313,2016-04-04 16:00:00,1580
5577150313,2016-04-04 17:00:00,404
5577150313,2016-04-04 18:00:00,170
5577150313,2016-04-04 19:00:00,693
5577150313,2016-04-04 20:00:00,296
5577150313,2016-04-04 21:00:00,84
5577150313,2016-04-04 22:00:00,0
5577150313,2016-04-04 23:00:00,63
5577150313,2016-04-05 00:00:00,0
5577150313,2016-04-05 01:00:00,0
5577150313,2016-04-05 02:00:00,0
5577150313,2016-04-05 03:00:00,91
5577150313,2016-04-05 04:00:00,0
5577150313,2016-04-05 05:00:00,17
5577150313,2016-04-05 06:00:00,2051
5577150313,2016-04-05 07:00:00,343
5577150313,2016-04-05 08:00:00,241
5577150313,2016-04-05 09:00:00,176
5577150313,2016-04-05 10:00:00,1807
5577150313,2016-04-05 11:00:00,0
5577150313,2016-04-05 12:00:00,338
5577150313,2016-04-05 13:00:00,279
5577150313,2016-04-05 14:00:00,108
5577150313,2016-04-05 15:00:00,309
5577150313,2016-04-05 16:00:00,1473
5577150313,2016-04-05 17:00:00,144
5577150313,2016-04-05 18:00:00,66
5577150313,2016-04-05 19:00:00,1176
5577150313,2016-04-05 20:00:00,214
5577150313,2016-04-05 21:00:00,14
5577150313,2016-04-05 22:00:00,112
5577150313,2016-04-05 23:00:00,5
5577150313,2016-04-06 00:00:00,0
5577150313,2016-04-06 01:00:00,7
5577150313,2016-04-06 02:00:00,0
5577150313,2016-04-06 03:00:00,0
5577150313,2016-04-06 04:00:00,23
5577150313,2016-04-06 05:00:00,823
5577150313,2016-04-06 06:00:00,1961
5577150313,2016-04-06 07:00:00,496
5577150313,2016-04-06 08:00:00,866
5577150313,2016-04-06 09:00:00,273
5577150313,2016-04-06 10:00:00,41
5577150313,2016-04-06 11:00:00,1368
5577150313,2016-04-06 12:00:00,7
5577150313,2016-04-06 13:00:00,196
5577150313,2016-04-06 14:00:00,2610
5577150313,2016-04-06 15:00:00,219
5577150313,2016-04-06 16:00:00,120
5577150313,2016-04-06 17:00:00,532
5577150313,2016-04-06 18:00:00,71
5577150313,2016-04-06 19:00:00,765
5577150313,2016-04-06 20:00:00,574
5577150313,2016-04-06 21:00:00,0
5577150313,2016-04-06 22:00:00,76
5577150313,2016-04-06 23:00:00,52
5577150313,2016-04-07 00:00:00,0
5577150313,2016-04-07 01:00:00,0
5577150313,2016-04-07 02:00:00,0
5577150313,2016-04-07 03:00:00,0
5577150313,2016-04-07 04:00:00,13
5577150313,2016-04-07 05:00:00,77
5577150313,2016-04-07 06:00:00,1486
5577150313,2016-04-07 07:00:00,344
5577150313,2016-04-07 08:00:00,0
5577150313,2016-04-07 09:00:00,0
5577150313,2016-04-07 10:00:00,95
5577150313,2016-04-07 11:00:00,26
5577150313,2016-04-07 12:00:00,0
5577150313,2016-04-07 13:00:00,103
5577150313,2016-04-07 14:00:00,248
5577150313,2016-04-07 15:00:00,166
5577150313,2016-04-07 16:00:00,264
5577150313,2016-04-07 17:00:00,341
5577150313,2016-04-07 18:00:00,415
5577150313,2016-04-07 19:00:00,275
5577150313,2016-04-07 20:00:00,510
5577150313,2016-04-07 21:00:00,64
5577150313,2016-04-07 22:00:00,0
5577150313,2016-04-07 23:00:00,72
5577150313,2016-04-08 00:00:00,0
5577150313,2016-04-08 01:00:00,0
5577150313,2016-04-08 02:00:00,0
5577150313,2016-04-08 03:00:00,0
5577150313,2016-04-08 04:00:00,0
5577150313,2016-04-08 05:00:00,113
5577150313,2016-04-08 06:00:00,1519
5577150313,2016-04-08 07:00:00,472
5577150313,2016-04-08 08:00:00,43
5577150313,2016-04-08 09:00:00,305
5577150313,2016-04-08 10:00:00,211
5577150313,2016-04-08 11:00:00,245
5577150313,2016-04-08 12:00:00,38
5577150313,2016-04-08 13:00:00,0
5577150313,2016-04-08 14:00:00,132
5577150313,2016-04-08 15:00:00,0
5577150313,2016-04-08 16:00:00,0
5577150313,2016-04-08 17:00:00,0
5577150313,2016-04-08 18:00:00,223
5577150313,2016-04-08 19:00:00,471
5577150313,2016-04-08 20:00:00,530
