Id,ActivityDateTime,Calories
5577150313,2016-04-01 00:00:00,79
5577150313,2016-04-01 01:00:00,78
5577150313,2016-04-01 02:00:00,78
5577150313,2016-04-01 03:00:00,78
5577150313,2016-04-01 04:00:00,78
5577150313,2016-04-01 05:00:00,145
5577150313,2016-04-01 06:00:00,369
5577150313,2016-04-01 07:00:00,152
5577150313,2016-04-01 08:00:00,109
5577150313,2016-04-01 09:00:00,121
5577150313,2016-04-01 10:00:00,145
5577150313,2016-04-01 11:00:00,320
5577150313,2016-04-01 12:00:00,88
5577150313,2016-04-01 13:00:00,86
5577150313,2016-04-01 14:00:00,88
5577150313,2016-04-01 15:00:00,95
5577150313,2016-04-01 16:00:00,91
5577150313,2016-04-01 17:00:00,203
5577150313,2016-04-01 18:00:00,120
5577150313,2016-04-01 19:00:00,608
5577150313,2016-04-01 20:00:00,218
5577150313,2016-04-01 21:00:00,119
5577150313,2016-04-01 22:00:00,81
5577150313,2016-04-01 23:00:00,77
5577150313,2016-04-02 00:00:00,98
5577150313,2016-04-02 01:00:00,79
5577150313,2016-04-02 02:00:00,84
5577150313,2016-04-02 03:00:00,83
5577150313,2016-04-02 04:00:00,78
5577150313,2016-04-02 05:00:00,81
5577150313,2016-04-02 06:00:00,144
5577150313,2016-04-02 07:00:00,433
5577150313,2016-04-02 08:00:00,95
5577150313,2016-04-02 09:00:00,166
5577150313,2016-04-02 10:00:00,409
5577150313,2016-04-02 11:00:00,632
5577150313,2016-04-02 12:00:00,574
5577150313,2016-04-02 13:00:00,128
5577150313,2016-04-02 14:00:00,256
5577150313,2016-04-02 15:00:00,95
5577150313,2016-04-02 16:00:00,92
5577150313,2016-04-02 17:00:00,165
5577150313,2016-04-02 18:00:00,108
5577150313,2016-04-02 19:00:00,199
5577150313,2016-04-02 20:00:00,170
5577150313,2016-04-02 21:00:00,79
5577150313,2016-04-02 22:00:00,105
5577150313,2016-04-02 23:00:00,79
5577150313,2016-04-03 00:00:00,80
5577150313,2016-04-03 01:00:00,77
5577150313,2016-04-03 02:00:00,79
5577150313,2016-04-03 03:00:00,79
5577150313,2016-04-03 04:00:00,85
5577150313,2016-04-03 05:00:00,155
5577150313,2016-04-03 06:00:00,216
5577150313,2016-04-03 07:00:00,227
5577150313,2016-04-03 08:00:00,81
5577150313,2016-04-03 09:00:00,143
5577150313,2016-04-03 10:00:00,243
5577150313,2016-04-03 11:00:00,209
5577150313,2016-04-03 12:00:00,127
5577150313,2016-04-03 13:00:00,165
5577150313,2016-04-03 14:00:00,107
5577150313,2016-04-03 15:00:00,243
5577150313,2016-04-03 16:00:00,169
5577150313,2016-04-03 17:00:00,193
5577150313,2016-04-03 18:00:00,200
5577150313,2016-04-03 19:00:00,184
