Id,Time,Value_mean,Value_sum,Value_max,Value_min
2022484408,2016-04-05 02:00:00,,0,,
2022484408,2016-04-05 03:00:00,,0,,
2022484408,2016-04-05 04:00:00,,0,,
2022484408,2016-04-05 05:00:00,,0,,
2022484408,2016-04-05 06:00:00,,0,,
2022484408,2016-04-05 07:00:00,83.75,11055,104.0,67.0
2022484408,2016-04-05 08:00:00,74.58206106870229,39081,105.0,53.0
2022484408,2016-04-05 09:00:00,74.16016427104722,36116,101.0,53.0
2022484408,2016-04-05 10:00:00,105.75356415478615,51925,143.0,64.0
2022484408,2016-04-05 11:00:00,98.32822757111597,44936,140.0,75.0
2022484408,2016-04-05 12:00:00,74.73614775725594,28325,95.0,61.0
2022484408,2016-04-05 13:00:00,72.98830409356725,24962,118.0,63.0
2022484408,2016-04-05 14:00:00,95.70089285714286,42874,117.0,68.0
2022484408,2016-04-05 15:00:00,76.85211267605634,32739,111.0,62.0
2022484408,2016-04-05 16:00:00,84.70678336980306,38711,122.0,66.0
2022484408,2016-04-05 17:00:00,75.23244552058111,31071,108.0,59.0
2022484408,2016-04-05 18:00:00,82.3875,32955,117.0,53.0
2022484408,2016-04-05 19:00:00,80.58,32232,99.0,66.0
2022484408,2016-04-05 20:00:00,86.2051282051282,3362,90.0,79.0
2022484408,2016-04-05 21:00:00,,0,,
2022484408,2016-04-05 22:00:00,,0,,
2022484408,2016-04-05 23:00:00,,0,,
2022484408,2016-04-06 00:00:00,,0,,
2022484408,2016-04-06 01:00:00,,0,,
2022484408,2016-04-06 02:00:00,,0,,
2022484408,2016-04-06 03:00:00,,0,,
2022484408,2016-04-06 04:00:00,,0,,
2022484408,2016-04-06 05:00:00,,0,,
2022484408,2016-04-06 06:00:00,,0,,
2022484408,2016-04-06 07:00:00,82.0,492,87.0,70.0
2022484408,2016-04-06 08:00:00,86.28333333333333,10354,117.0,60.0
2022484408,2016-04-06 09:00:00,125.00854700854701,58504,152.0,98.0
2022484408,2016-04-06 10:00:00,77.04109589041096,33744,107.0,63.0
